UnitID,UnitName,GroupID
1,Chief Executive's Office,1
2,Executive Leadership Team,1
3,Community Services,2
4,Creative Capital,2
5,Customer and Community Leadership,2
6,Libraries and Community Spaces,2
7,Parking,2
8,"Parks, Sport & Recreation",2
9,Smart Council,2
10,CCOs & Partnerships,3
11,Communications & Creative,3
12,Council Engagement,3
13,Economic & Engagement Leadership,3
14,Economic Development Projects,3
15,Economic Wellbeing & City Revitalisation,3
16,City Transport and Infrastructure,4
17,Infrastructure & Delivery Leadership,4
18,Project Management Office,4
19,Property & Capital Projects,4
20,Resilience & Sustainability,4
21,Mataaho Aronui,5
22,Culture and Capability,6
23,Health Safety and Security,6
24,HR Services,6
25,People & Culture Leadership,6
26,City Consenting and Compliance,7
27,City Design,7
28,City Development,7
29,Climate Change Response,7
30,Housing Development,7
31,Planning and Environment Leadership,7
32,Strategic Planning,7
33,Advisory & Support,8
34,Commercial Partnerships,8
35,Financial Business Planning & Partnering,8
36,Financial Control,8
37,Financial Operations,8
38,Governance & Information,8
39,Legal,8
40,Strategy & Finance Leadership,8
41,"Strategy, Policy and Research",8
