Number,Job Title,Group,Division,Manager Job Title
10000,Senior Building Officer,Environment & Sustainability,Building Control,Inspections Team Lead
10001,Project Manager,Economy & Development,City Delivery,Head Of City Delivery
10002,Project Manager,Economy & Development,City Delivery,Head Of City Delivery
10003,Lifeguard,Neighbourhoods & Communities ,Aquatics,Operations Lead
10004,Customer Service Officer,Neighbourhoods & Communities ,Aquatics,Customer Services Lead
10005,Programme Manager,Economy & Development,City Delivery,Head Of City Delivery
10006,Parks Officer - Sportsgrounds ,Neighbourhoods & Communities ,Parks & Reserves,Asset Manager – Sportsgrounds
10007,Building Compliance Officer,Environment & Sustainability,Building Control,Building Compliance Manager
10008,Senior Building Officer,Environment & Sustainability,Building Control,Consents Team Lead
10009,Host | Pou Tiaki,Neighbourhoods & Communities ,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10010,Host | Pou Tiaki,Neighbourhoods & Communities ,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10011,Host | Pou Tiaki,Neighbourhoods & Communities ,Neighbourhood Hubs & Library Services,Manager Neighbourhood Hubs - North
10012,Executive Assistant,Office of the Chief Executive,Chief Executive's Office,Head of Chief Executive's Office
10013,Infrastructure Engineer,Office of the Chief Executive,Information Services,Infrastructure Team Lead
10014,Change Lead - Go Digital,Office of the Chief Executive,Information Services,Programme Manager
10015,Parking Manager,Environment & Sustainability,Environmental Protection,Head Of Environmental Protection
10016,Compliance Coordinator,Environment & Sustainability,Environmental Protection,Head Of Environmental Protection
10017,Senior Project Manager,Office of the Chief Executive,Information Services,Programme Manager
10018,"Recreation, Sport & Play Manager",Neighbourhoods & Communities ,Connected Communities,Head Of Connected Communities
10019,Project Coordinator,Neighbourhoods & Communities ,Neighbourhood Hubs & Library Services,Parks Project Manager
10020,Operations Lead,Neighbourhoods & Communities ,Aquatics,Facility Manager
10021,Senior Building Officer,Environment & Sustainability,Building Control,Residential Consents Team Lead
10022,Host | Pou Tiaki,Neighbourhoods & Communities ,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10023,Host | Pou Tiaki,Neighbourhoods & Communities ,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10024,Elected Member Support Coordinator,Strategy & Engagement,Democratic Services,Head Of Democratic Services
10025,Development Engineer,Environment & Sustainability,Planning,Development Engineer Manager
10026,Administrator,Environment & Sustainability,Environmental Protection,Animal Services Team Lead
10027,Shift Supervisor,Neighbourhoods & Communities ,Aquatics,Operations Lead
10028,Building Officer,Environment & Sustainability,Building Control,Residential Consents Team Lead
10029,Development Engineer,Environment & Sustainability,Planning,Development Engineer Manager
10030,Senior Resource Consents Planner,Environment & Sustainability,Planning,Resource Consents Lead
10031,Lifeguard,Neighbourhoods & Communities ,Aquatics,Operations Lead
10032,Shift Supervisor,Neighbourhoods & Communities ,Aquatics,Operations Lead
10033,Strategic Communications Lead,Neighbourhoods & Communities ,Connected Communities,Healthy Families Manager
10034,Engineering Technician,Environment & Sustainability,Planning,Development Engineer Manager
10035,Programmes & Partnerships Facilitator,Neighbourhoods & Communities ,Connected Communities,Programmes & Innovation Manager
10036,Infrastructure Engineer,Office of the Chief Executive,Information Services,Infrastructure Team Lead
10037,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10038,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10039,Building Compliance Officer,Environment & Sustainability,Building Control,Building Compliance Manager
10040,Resource Recovery Lead,Environment & Sustainability,"Climate, Waste and Resource Recovery",Waste And Resource Recovery Manager
10041,Senior Dev Ops Engineer,Office of the Chief Executive,Information Services,Applications Team Lead
10042,Kai?rahi M?ori,Neighbourhoods & Communities,Connected Communities,Healthy Families Manager
10043,Development Engineer,Environment & Sustainability,Planning,Development Engineer Manager
10044,Desktop Support Engineer,Office of the Chief Executive,Information Services,Service Desk Team Lead
10045,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10046,Head Of City Delivery,Economy & Development,City Delivery,Director Economy & Development
10047,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10048,Payroll Officer,Office of the Chief Executive,Finance,Payroll Lead
10049,Head of Assets & Facilities Management,Economy & Development,Assets & Facilities Management,Director Economy & Development
