ID,Year,Course Letter,Course Number,Course Code,Course Title,Points,Responses,Enrolled,Low Sample,Q1: Well-organised,Q1 Rank,Q2: Clear communication,Q2 Rank,Q3: Assessment helped,Q3 Rank,Q4: Helpful feedback,Q4 Rank,Q5: Workload (3=ideal),Q5 Rank,Q6: Understanding,Q6 Rank,Q7: Interest,Q7 Rank,Q8: Valuable,Q8 Rank,Q9: Overall quality,Q9 Rank
1,2016,ACCY,130,ACCY130,Accounting for Accountability and Decision Making,15,90,405,False,2.2,top10,1.9,top10,2,top10,3.1,top10,3,top10,2.1,top10,3.3,top10,2.1,top10,2.8,top10
2,2016,ACCY,223,ACCY223,Accounting for Sustainable Decision Making and Control,15,52,262,True,1.3,top10,1.2,top10,1.3,top10,1.6,top10,2.9,top10,1.7,top10,1.9,top10,1.6,top10,1.8,top10
3,2016,ACCY,231,ACCY231,International External Reporting and Business Sustainability,15,57,252,False,2.1,top10,1.8,top10,2.1,top10,2.6,top10,2.8,top10,2.2,top10,2.8,top10,2.2,top10,2.8,top10
4,2016,ACCY,308,ACCY308,External Reporting and Accountability,15,20,144,True,1.3,top10,1.2,top10,1.6,top10,1.8,top10,3,top10,1.7,top10,1.9,top10,1.5,top10,1.8,top10
5,2016,ACCY,330,ACCY330,Auditing,15,39,234,True,1.6,top10,1.5,top10,1.8,top10,2.1,top10,1.7,top10,1.7,top10,2.6,top10,1.8,top10,2.2,top10
6,2016,ACTS,301,ACTS301,Actuarial Science,15,2,13,True,2,top10,2.5,top10,1.5,top10,3,top10,3,top10,1,top10,2.5,top10,1,top10,2.5,top10
7,2016,ANTH,208,ANTH208,"Human Rights, Humanitarianism and Development",20,48,132,False,1.3,top10,1.3,top10,1.8,top10,2.3,top10,3,top10,1.3,top10,1.3,top10,1.3,top10,1.4,top10
8,2016,ANTH,209,ANTH209,Conflict and Reconciliation,20,31,129,False,1.2,top10,1.1,top10,1.5,top10,1.5,top10,2.9,top10,1.3,top10,1.4,top10,1.2,top10,1.2,top10
9,2016,ANTH,213,ANTH213,Ritual and Collective Life,20,13,59,False,1.1,top10,1.2,top10,1.8,top10,1.8,top10,2.9,top10,1.4,top10,1.4,top10,1.6,top10,1.6,top10
10,2016,ANTH,316,ANTH316,Visual Anthropology,20,21,57,False,1.6,top10,1.2,top10,1.3,top10,1.7,top10,3,top10,1.8,top10,1.9,top10,1.8,top10,1.9,top10
