JobTitle,TitleID
Accessibility Analyst,1
Accounts Receivable Administrator,2
Admin Audit & Enforcement Officer,3
Advisor Commercial Procurement,4
Advisor Content and Channels,5
Advisor International Relations,6
Advisor Planning,7
Advisor Rates Customer Experience,8
Advisor Regional Waste Management & Minimisation,9
Advisor Research & Evaluation,10
Advisor Social Media,11
Advisor Treasury & Funding,12
Akau Tangi Programmes Coordinator,13
Alcohol Licensing Inspector,14
Amenity Horticulture Apprentice,15
Amotaketake,16
Analyst Programmer,17
Animal Control Officer,18
Animal Liaison Officer,19
Applications Support Analyst,20
Apprentice Amenity Horticulture,21
Apprentice Arborist,22
Apprentice Coordinator,23
Aquatic Education Instructor,24
Arborist,25
Archives Access Specialist,26
Archivist,27
Area Roading Engineer,28
Art Collection Manager,29
Artificial Surface Specialist,30
Arts Centre Administrator,31
Assessment Officer Dev Cont,32
Assessor Building Control Officer,33
Assistant Accountant,34
Assistant Archivist,35
Assistant Gardener,36
Assistant Librarian,37
Assistant Management Accountant,38
BCC Admin Officer,39
BG Base Administrator,40
BID Manager,41
BWOF Admin Officer,42
BWoF Audit Officer,43
Basketball Referee,44
Biodiversity Specialist Plants,45
Biosecurity Specialist Pest Animals,46
Biosecurity Specialist Pest Plants,47
Booking & Membership Officer,48
Bookings Coordinator,49
Bookings Officer,50
Business & Project Support Analyst,51
Business Advisor,52
Business Advisor Parking,53
Business Analyst,54
Business Dev Customer Spec (Adults & Non-Fiction),55
Business Development Customer Spec (Business),56
Business Development Customer Spec (Heritage),57
Business Improvement Analyst,58
Business Performance Manager,59
Business Planning and Intelligence Lead Advisor,60
Business Planning and Intelligence Officer,61
Business Support Manager,62
Business Support Officer,63
Business Support Officer & Hearings Co-ordinator,64
Business Support Officer - Finance,65
Business Unit Coordinator,66
CCC Review Officer,67
CCTV Operator,68
Capital Delivery Manager,69
Casual Music Teacher,70
Casual Receptionist,71
Casual Recreation Assistant,72
Cataloguer & Library Management System Specialist,73
Cataloguing Librarian,74
Cemetery Office Manager,75
Cemetery Technician,76
Central City Manager,77
Change Manager,78
Chief Advisor,79
Chief Advisor People and Culture,80
Chief Advisor to CIO,81
Chief Advisor to the Chief Operating Officer,82
Chief Economic & Engagement Officer,83
Chief Executive Officer,84
Chief Infrastructure Officer,85
Chief Licensing Inspector,86
Chief Operating Officer,87
Chief People & Culture Officer,88
Chief Planning Officer,89
Chief Strategy & Finance Officer,90
Chief of Staff,91
Children & Youth Srvcs Coord,92
