Course Letter,Course Number,Avg_Responses,Avg_Enrolled,Avg_Q1,Avg_Q2,Avg_Q3,Avg_Q4,Avg_Q5,Avg_Q6,Avg_Q7,Avg_Q8,Avg_Q9,Avg_AllQs
ACCY,130,85.5714285714286,569,1.67142857142857,1.58571428571429,1.81428571428571,2.45714285714286,2.91428571428571,1.84285714285714,2.6,1.87142857142857,2.2,1.78253968253968
ACCY,131,18.3333333333333,169.333333333333,1.5,1.26666666666667,1.53333333333333,1.93333333333333,3,1.53333333333333,1.66666666666667,1.43333333333333,1.8,1.40740740740741
ACCY,223,41,196,1.92,1.72,1.64,2.06,2.88,1.88,2.14,1.74,2.26,1.70666666666667
ACCY,225,29,170.2,1.76,1.66,1.78,2.44,2.9,1.96,2.4,1.74,2.14,1.76444444444444
ACCY,231,32.1428571428571,157.714285714286,2.04285714285714,1.91428571428571,2.14285714285714,2.42857142857143,2.77142857142857,2.12857142857143,2.9,2.05714285714286,2.68571428571429,2.03333333333333
ACCY,302,45.3333333333333,204.333333333333,1.55,1.41666666666667,1.58333333333333,2.01666666666667,2.81666666666667,1.71666666666667,2.3,1.7,2.03333333333333,1.59074074074074
ACCY,306,11.6666666666667,43,3,2.56666666666667,2.16666666666667,2.66666666666667,3.1,2.4,2.9,2.1,3.13333333333333,2.32592592592593
ACCY,307,6,12,2.3,2.2,2.2,2.5,3.1,2,2.5,2,3,2.07777777777778
ACCY,308,48.6,180,1.64,1.56,1.8,2.26,2.86,1.84,2.24,1.78,2.12,1.69333333333333
ACCY,314,4,15.5,1.3,1.05,1.05,1.15,2.95,1.05,1.25,1,1.5,1.03888888888889
ACCY,320,1,3,1,1,1,2,3,2,2,2,2,1.44444444444444
ACCY,330,43.7142857142857,185.571428571429,2.07142857142857,2.04285714285714,2.1,2.62857142857143,2.58571428571429,1.98571428571429,2.81428571428571,2,2.51428571428571,2.01746031746032
ACTS,201,14.5,40,1.625,1.525,1.4375,1.7625,2.7625,1.65,1.7125,1.525,1.9125,1.46111111111111
ACTS,301,8.33333333333333,27.5555555555556,1.86666666666667,1.7,1.63333333333333,2.02222222222222,2.21111111111111,1.62222222222222,1.96666666666667,1.54444444444444,2.2,1.61728395061728
ACTS,336,7,22.5,1.85,1.6,1.56666666666667,1.93333333333333,2.36666666666667,1.71666666666667,1.93333333333333,1.65,2.1,1.59444444444444
AIML,131,33,191.5,1.45,1.4,1.65,1.85,2.8,1.55,1.45,1.5,1.7,1.39444444444444
AIML,231,13,78,2.7,1.7,2.1,3,2.4,2.2,3.3,2,3,2.22222222222222
AIML,232,3,60,1.8,1.8,1.8,1.8,2.8,1.8,2.8,1.8,2.8,1.82222222222222
ANFX,201,13.6666666666667,58.3333333333333,2.1,1.9,2.2,2.16666666666667,2.56666666666667,1.96666666666667,2.73333333333333,1.96666666666667,2.63333333333333,1.96296296296296
ANFX,211,10,45.3333333333333,1.56666666666667,1.43333333333333,1.5,1.66666666666667,2.8,1.7,1.7,1.73333333333333,2.2,1.5
ANFX,221,14,62,1.36666666666667,1.4,1.16666666666667,1.43333333333333,2.53333333333333,1.46666666666667,1.5,1.4,1.46666666666667,1.24444444444444
ANFX,301,13,39,1.2,1.3,1.25,1.2,2.8,1.25,1.25,1.15,1.25,1.09444444444444
ANFX,311,7.25,24.5,1.975,1.85,1.85,2.2,2.75,1.85,2.175,1.9,2.3,1.78888888888889
ANFX,321,9.66666666666667,29,1.13333333333333,1.23333333333333,1.1,1.1,2.9,1.33333333333333,1.16666666666667,1.2,1.2,1.05185185185185
ANFX,390,9,22.5,1.25,1.1,1.2,1.15,2.95,1.3,1.1,1.1,1.15,1.03888888888889
ANTH,101,102,314.5,1.15,1.2,1.4,2,3,1.325,1.375,1.375,1.4,1.24722222222222
ANTH,102,61.4,297.4,1.22,1.28,1.62,1.82,2.96,1.58,1.58,1.64,1.54,1.36444444444444
ANTH,201,27.8333333333333,86.5,1.4,1.31666666666667,1.51666666666667,1.75,3,1.38333333333333,1.28333333333333,1.26666666666667,1.53333333333333,1.27222222222222
